ticket_id,customer_id,product_id,created_date,issue_category,issue_type,priority,contact_channel,first_response_hours,resolution_hours,ticket_status,customer_satisfaction_score,sla_breached_flag,customer_comment
TKT000033,C004,P010,2026-06-15,Delivery,Late Delivery,Medium,Chat,10,27,Resolved,3.0,No,Standard support request
TKT000034,C005,P011,2026-06-20,Payment,Payment Failed,High,Phone,13,37,Resolved,3.7,No,Standard support request
TKT000035,C006,P012,2026-06-25,Account,Login Issue,Medium,Web,16,47,Resolved,4.4,No,Standard support request
TKT000036,C007,P001,2026-06-30,Product Information,Wrong Specification,Medium,Email,1,39,Resolved,3.0,No,Standard support request
TKT000037,C008,P002,2026-01-05,Refund,Refund Pending,High,Chat,4,49,Resolved,3.7,Yes,Standard support request
TKT000038,C009,P003,2026-01-10,Technical,App Error,High,Phone,7,59,Resolved,4.4,Yes,Standard support request
TKT000039,C010,P004,2026-01-15,Order,Order Cancellation,Low,Web,10,69,Open,3.0,Yes,Standard support request
TKT000040,C011,P005,2026-01-20,Product Quality,Defective Product,High,Email,13,79,Resolved,3.7,Yes,Standard support request
TKT000041,C012,P006,2026-01-25,Delivery,Late Delivery,Medium,Chat,16,89,Resolved,4.4,Yes,Standard support request
TKT000042,C013,P007,2026-01-30,Payment,Payment Failed,High,Phone,1,9,Resolved,3.0,No,Standard support request
TKT000043,C014,P008,2026-02-04,Account,Login Issue,Medium,Web,4,19,Resolved,3.7,No,Standard support request
TKT000044,C015,P009,2026-02-09,Product Information,Wrong Specification,Medium,Email,7,29,Resolved,4.4,No,Standard support request
TKT000045,C001,P010,2026-02-14,Refund,Refund Pending,High,Chat,10,39,Resolved,3.0,No,Standard support request
TKT000046,C002,P011,2026-02-19,Technical,App Error,High,Phone,13,49,Resolved,3.7,Yes,Standard support request
TKT000047,C003,P012,2026-02-24,Order,Order Cancellation,Low,Web,16,59,Resolved,4.4,Yes,Standard support request
TKT000048,C004,P001,2026-03-01,Product Quality,Defective Product,High,Email,1,51,Resolved,3.0,Yes,Standard support request
TKT000049,C005,P002,2026-03-06,Delivery,Late Delivery,Medium,Chat,4,61,Resolved,3.7,Yes,Standard support request
TKT000050,C006,P003,2026-03-11,Payment,Payment Failed,High,Phone,7,71,Resolved,4.4,Yes,Standard support request
TKT000051,C007,P004,2026-03-16,Account,Login Issue,Medium,Web,10,81,Resolved,3.0,Yes,Standard support request
TKT000052,C008,P005,2026-03-21,Product Information,Wrong Specification,Medium,Email,13,19,Open,3.7,No,Standard support request
TKT000053,C009,P006,2026-03-26,Refund,Refund Pending,High,Chat,16,29,Resolved,4.4,No,Standard support request
TKT000054,C010,P007,2026-03-31,Technical,App Error,High,Phone,1,21,Resolved,3.0,No,Standard support request
TKT000055,C011,P008,2026-04-05,Order,Order Cancellation,Low,Web,4,31,Resolved,3.7,No,Standard support request
TKT000056,C012,P009,2026-04-10,Product Quality,Defective Product,High,Email,7,41,Resolved,4.4,No,Standard support request
TKT000057,C013,P010,2026-04-15,Delivery,Late Delivery,Medium,Chat,10,51,Resolved,3.0,Yes,Standard support request
TKT000058,C014,P011,2026-04-20,Payment,Payment Failed,High,Phone,13,109,Resolved,2.5,Yes,Customer reported repeated issue
TKT000059,C015,P012,2026-04-25,Account,Login Issue,Medium,Web,16,71,Resolved,4.4,Yes,Standard support request
TKT000060,C001,P001,2026-04-30,Product Information,Wrong Specification,Medium,Email,1,63,Resolved,3.0,Yes,Standard support request
TKT000061,C002,P002,2026-05-05,Refund,Refund Pending,High,Chat,4,73,Resolved,3.7,Yes,Standard support request
TKT000062,C003,P003,2026-05-10,Technical,App Error,High,Phone,7,11,Resolved,4.4,No,Standard support request
TKT000063,C004,P004,2026-05-15,Order,Order Cancellation,Low,Web,10,21,Resolved,3.0,No,Standard support request
TKT000064,C005,P005,2026-05-20,Product Quality,Defective Product,High,Email,13,31,Resolved,3.7,No,Standard support request
TKT000065,C006,P006,2026-05-25,Delivery,Late Delivery,Medium,Chat,16,41,Open,4.4,No,Standard support request
TKT000066,C007,P007,2026-05-30,Payment,Payment Failed,High,Phone,1,33,Resolved,3.0,No,Standard support request
TKT000067,C008,P008,2026-06-04,Account,Login Issue,Medium,Web,4,43,Resolved,3.7,No,Standard support request
TKT000068,C009,P009,2026-06-09,Product Information,Wrong Specification,Medium,Email,7,53,Resolved,4.4,Yes,Standard support request
TKT000069,C010,P010,2026-06-14,Refund,Refund Pending,High,Chat,10,63,Resolved,3.0,Yes,Standard support request
TKT000070,C011,P011,2026-06-19,Technical,App Error,High,Phone,13,73,Resolved,3.7,Yes,Standard support request
TKT000071,C012,P012,2026-06-24,Order,Order Cancellation,Low,Web,16,83,Resolved,4.4,Yes,Standard support request
TKT000072,C013,P001,2026-06-29,Product Quality,Defective Product,High,Email,1,3,Resolved,3.0,No,Standard support request
TKT000073,C014,P002,2026-01-04,Delivery,Late Delivery,Medium,Chat,4,13,Resolved,3.7,No,Standard support request
TKT000074,C015,P003,2026-01-09,Payment,Payment Failed,High,Phone,7,23,Resolved,4.4,No,Standard support request
TKT000075,C001,P004,2026-01-14,Account,Login Issue,Medium,Web,10,33,Resolved,3.0,No,Standard support request
TKT000076,C002,P005,2026-01-19,Product Information,Wrong Specification,Medium,Email,13,43,Resolved,3.7,No,Standard support request
TKT000077,C003,P006,2026-01-24,Refund,Refund Pending,High,Chat,16,53,Resolved,4.4,Yes,Standard support request
TKT000078,C004,P007,2026-01-29,Technical,App Error,High,Phone,1,45,Open,3.0,No,Standard support request
TKT000079,C005,P008,2026-02-03,Order,Order Cancellation,Low,Web,4,55,Resolved,3.7,Yes,Standard support request
TKT000080,C006,P009,2026-02-08,Product Quality,Defective Product,High,Email,7,65,Resolved,4.4,Yes,Standard support request
TKT000081,C007,P010,2026-02-13,Delivery,Late Delivery,Medium,Chat,10,75,Resolved,3.0,Yes,Standard support request
TKT000082,C008,P011,2026-02-18,Payment,Payment Failed,High,Phone,13,85,Resolved,3.7,Yes,Standard support request
TKT000083,C009,P012,2026-02-23,Account,Login Issue,Medium,Web,16,23,Resolved,4.4,No,Standard support request
TKT000084,C010,P001,2026-02-28,Product Information,Wrong Specification,Medium,Email,1,15,Resolved,3.0,No,Standard support request
TKT000085,C011,P002,2026-03-05,Refund,Refund Pending,High,Chat,4,25,Resolved,3.7,No,Standard support request
TKT000086,C012,P003,2026-03-10,Technical,App Error,High,Phone,7,35,Resolved,4.4,No,Standard support request
TKT000087,C013,P004,2026-03-15,Order,Order Cancellation,Low,Web,10,93,Resolved,1.8,Yes,Customer reported repeated issue
TKT000088,C014,P005,2026-03-20,Product Quality,Defective Product,High,Email,13,55,Resolved,3.7,Yes,Standard support request
TKT000089,C015,P006,2026-03-25,Delivery,Late Delivery,Medium,Chat,16,65,Resolved,4.4,Yes,Standard support request
TKT000090,C001,P007,2026-03-30,Payment,Payment Failed,High,Phone,1,57,Resolved,3.0,Yes,Standard support request
TKT000091,C002,P008,2026-04-04,Account,Login Issue,Medium,Web,4,67,Open,3.7,Yes,Standard support request
TKT000092,C003,P009,2026-04-09,Product Information,Wrong Specification,Medium,Email,7,77,Resolved,4.4,Yes,Standard support request
TKT000093,C004,P010,2026-04-14,Refund,Refund Pending,High,Chat,10,15,Resolved,3.0,No,Standard support request
TKT000094,C005,P011,2026-04-19,Technical,App Error,High,Phone,13,25,Resolved,3.7,No,Standard support request
TKT000095,C006,P012,2026-04-24,Order,Order Cancellation,Low,Web,16,35,Resolved,4.4,No,Standard support request
TKT000096,C007,P001,2026-04-29,Product Quality,Defective Product,High,Email,1,27,Resolved,3.0,No,Standard support request
TKT000097,C008,P002,2026-05-04,Delivery,Late Delivery,Medium,Chat,4,37,Resolved,3.7,No,Standard support request
TKT000098,C009,P003,2026-05-09,Payment,Payment Failed,High,Phone,7,47,Resolved,4.4,No,Standard support request
TKT000099,C010,P004,2026-05-14,Account,Login Issue,Medium,Web,10,57,Resolved,3.0,Yes,Standard support request
TKT000100,C011,P005,2026-05-19,Product Information,Wrong Specification,Medium,Email,13,67,Resolved,3.7,Yes,Standard support request
TKT000101,C012,P006,2026-05-24,Refund,Refund Pending,High,Chat,16,77,Resolved,4.4,Yes,Standard support request
TKT000102,C013,P007,2026-05-29,Technical,App Error,High,Phone,1,69,Resolved,3.0,Yes,Standard support request
TKT000103,C014,P008,2026-06-03,Order,Order Cancellation,Low,Web,4,7,Resolved,3.7,No,Standard support request
TKT000104,C015,P009,2026-06-08,Product Quality,Defective Product,High,Email,7,17,Open,4.4,No,Standard support request
TKT000105,C001,P010,2026-06-13,Delivery,Late Delivery,Medium,Chat,10,27,Resolved,3.0,No,Standard support request
TKT000106,C002,P011,2026-06-18,Payment,Payment Failed,High,Phone,13,37,Resolved,3.7,No,Standard support request
TKT000107,C003,P012,2026-06-23,Account,Login Issue,Medium,Web,16,47,Resolved,4.4,No,Standard support request
TKT000108,C004,P001,2026-06-28,Product Information,Wrong Specification,Medium,Email,1,39,Resolved,3.0,No,Standard support request
TKT000109,C005,P002,2026-01-03,Refund,Refund Pending,High,Chat,4,49,Resolved,3.7,Yes,Standard support request
TKT000110,C006,P003,2026-01-08,Technical,App Error,High,Phone,7,59,Resolved,4.4,Yes,Standard support request
TKT000111,C007,P004,2026-01-13,Order,Order Cancellation,Low,Web,10,69,Resolved,3.0,Yes,Standard support request
TKT000112,C008,P005,2026-01-18,Product Quality,Defective Product,High,Email,13,79,Resolved,3.7,Yes,Standard support request
TKT000113,C009,P006,2026-01-23,Delivery,Late Delivery,Medium,Chat,16,89,Resolved,4.4,Yes,Standard support request
TKT000114,C010,P007,2026-01-28,Payment,Payment Failed,High,Phone,1,9,Resolved,3.0,No,Standard support request
TKT000115,C011,P008,2026-02-02,Account,Login Issue,Medium,Web,4,19,Resolved,3.7,No,Standard support request
TKT000116,C012,P009,2026-02-07,Product Information,Wrong Specification,Medium,Email,7,77,Resolved,3.2,Yes,Customer reported repeated issue
TKT000117,C013,P010,2026-02-12,Refund,Refund Pending,High,Chat,10,39,Open,3.0,No,Standard support request
TKT000118,C014,P011,2026-02-17,Technical,App Error,High,Phone,13,49,Resolved,3.7,Yes,Standard support request
TKT000119,C015,P012,2026-02-22,Order,Order Cancellation,Low,Web,16,59,Resolved,4.4,Yes,Standard support request
TKT000120,C001,P001,2026-02-27,Product Quality,Defective Product,High,Email,1,51,Resolved,3.0,Yes,Standard support request
TKT000121,C002,P002,2026-03-04,Delivery,Late Delivery,Medium,Chat,4,61,Resolved,3.7,Yes,Standard support request
TKT000122,C003,P003,2026-03-09,Payment,Payment Failed,High,Phone,7,71,Resolved,4.4,Yes,Standard support request
TKT000123,C004,P004,2026-03-14,Account,Login Issue,Medium,Web,10,81,Resolved,3.0,Yes,Standard support request
TKT000124,C005,P005,2026-03-19,Product Information,Wrong Specification,Medium,Email,13,19,Resolved,3.7,No,Standard support request
TKT000125,C006,P006,2026-03-24,Refund,Refund Pending,High,Chat,16,29,Resolved,4.4,No,Standard support request
TKT000126,C007,P007,2026-03-29,Technical,App Error,High,Phone,1,21,Resolved,3.0,No,Standard support request
TKT000127,C008,P008,2026-04-03,Order,Order Cancellation,Low,Web,4,31,Resolved,3.7,No,Standard support request
TKT000128,C009,P009,2026-04-08,Product Quality,Defective Product,High,Email,7,41,Resolved,4.4,No,Standard support request
TKT000129,C010,P010,2026-04-13,Delivery,Late Delivery,Medium,Chat,10,51,Resolved,3.0,Yes,Standard support request
TKT000130,C011,P011,2026-04-18,Payment,Payment Failed,High,Phone,13,61,Open,3.7,Yes,Standard support request
TKT000131,C012,P012,2026-04-23,Account,Login Issue,Medium,Web,16,71,Resolved,4.4,Yes,Standard support request
TKT000132,C013,P001,2026-04-28,Product Information,Wrong Specification,Medium,Email,1,63,Resolved,3.0,Yes,Standard support request
TKT000133,C014,P002,2026-05-03,Refund,Refund Pending,High,Chat,4,73,Resolved,3.7,Yes,Standard support request
TKT000134,C015,P003,2026-05-08,Technical,App Error,High,Phone,7,11,Resolved,4.4,No,Standard support request
TKT000135,C001,P004,2026-05-13,Order,Order Cancellation,Low,Web,10,21,Resolved,3.0,No,Standard support request
TKT000136,C002,P005,2026-05-18,Product Quality,Defective Product,High,Email,13,31,Resolved,3.7,No,Standard support request
TKT000137,C003,P006,2026-05-23,Delivery,Late Delivery,Medium,Chat,16,41,Resolved,4.4,No,Standard support request
TKT000138,C004,P007,2026-05-28,Payment,Payment Failed,High,Phone,1,33,Resolved,3.0,No,Standard support request
TKT000139,C005,P008,2026-06-02,Account,Login Issue,Medium,Web,4,43,Resolved,3.7,No,Standard support request
TKT000140,C006,P009,2026-06-07,Product Information,Wrong Specification,Medium,Email,7,53,Resolved,4.4,Yes,Standard support request
TKT000141,C007,P010,2026-06-12,Refund,Refund Pending,High,Chat,10,63,Resolved,3.0,Yes,Standard support request
TKT000142,C008,P011,2026-06-17,Technical,App Error,High,Phone,13,73,Resolved,3.7,Yes,Standard support request
TKT000143,C009,P012,2026-06-22,Order,Order Cancellation,Low,Web,16,83,Open,4.4,Yes,Standard support request
TKT000144,C010,P001,2026-06-27,Product Quality,Defective Product,High,Email,1,3,Resolved,3.0,No,Standard support request
TKT000145,C011,P002,2026-01-02,Delivery,Late Delivery,Medium,Chat,4,61,Resolved,2.5,Yes,Customer reported repeated issue
TKT000146,C012,P003,2026-01-07,Payment,Payment Failed,High,Phone,7,23,Resolved,4.4,No,Standard support request
TKT000147,C013,P004,2026-01-12,Account,Login Issue,Medium,Web,10,33,Resolved,3.0,No,Standard support request
TKT000148,C014,P005,2026-01-17,Product Information,Wrong Specification,Medium,Email,13,43,Resolved,3.7,No,Standard support request
TKT000149,C015,P006,2026-01-22,Refund,Refund Pending,High,Chat,16,53,Resolved,4.4,Yes,Standard support request
TKT000150,C001,P007,2026-01-27,Technical,App Error,High,Phone,1,45,Resolved,3.0,No,Standard support request
TKT000151,C002,P008,2026-02-01,Order,Order Cancellation,Low,Web,4,55,Resolved,3.7,Yes,Standard support request
TKT000152,C003,P009,2026-02-06,Product Quality,Defective Product,High,Email,7,65,Resolved,4.4,Yes,Standard support request
TKT000153,C004,P010,2026-02-11,Delivery,Late Delivery,Medium,Chat,10,75,Resolved,3.0,Yes,Standard support request
TKT000154,C005,P011,2026-02-16,Payment,Payment Failed,High,Phone,13,85,Resolved,3.7,Yes,Standard support request
TKT000155,C006,P012,2026-02-21,Account,Login Issue,Medium,Web,16,23,Resolved,4.4,No,Standard support request
TKT000156,C007,P001,2026-02-26,Product Information,Wrong Specification,Medium,Email,1,15,Open,3.0,No,Standard support request
TKT000157,C008,P002,2026-03-03,Refund,Refund Pending,High,Chat,4,25,Resolved,3.7,No,Standard support request
TKT000158,C009,P003,2026-03-08,Technical,App Error,High,Phone,7,35,Resolved,4.4,No,Standard support request
TKT000159,C010,P004,2026-03-13,Order,Order Cancellation,Low,Web,10,45,Resolved,3.0,No,Standard support request
TKT000160,C011,P005,2026-03-18,Product Quality,Defective Product,High,Email,13,55,Resolved,3.7,Yes,Standard support request
TKT000161,C012,P006,2026-03-23,Delivery,Late Delivery,Medium,Chat,16,65,Resolved,4.4,Yes,Standard support request
TKT000162,C013,P007,2026-03-28,Payment,Payment Failed,High,Phone,1,57,Resolved,3.0,Yes,Standard support request
TKT000163,C014,P008,2026-04-02,Account,Login Issue,Medium,Web,4,67,Resolved,3.7,Yes,Standard support request
TKT000164,C015,P009,2026-04-07,Product Information,Wrong Specification,Medium,Email,7,77,Resolved,4.4,Yes,Standard support request
TKT000165,C001,P010,2026-04-12,Refund,Refund Pending,High,Chat,10,15,Resolved,3.0,No,Standard support request
TKT000166,C002,P011,2026-04-17,Technical,App Error,High,Phone,13,25,Resolved,3.7,No,Standard support request
TKT000167,C003,P012,2026-04-22,Order,Order Cancellation,Low,Web,16,35,Resolved,4.4,No,Standard support request
TKT000168,C004,P001,2026-04-27,Product Quality,Defective Product,High,Email,1,27,Resolved,3.0,No,Standard support request
TKT000169,C005,P002,2026-05-02,Delivery,Late Delivery,Medium,Chat,4,37,Open,3.7,No,Standard support request
TKT000170,C006,P003,2026-05-07,Payment,Payment Failed,High,Phone,7,47,Resolved,4.4,No,Standard support request
TKT000171,C007,P004,2026-05-12,Account,Login Issue,Medium,Web,10,57,Resolved,3.0,Yes,Standard support request
TKT000172,C008,P005,2026-05-17,Product Information,Wrong Specification,Medium,Email,13,67,Resolved,3.7,Yes,Standard support request
TKT000173,C009,P006,2026-05-22,Refund,Refund Pending,High,Chat,16,77,Resolved,4.4,Yes,Standard support request
TKT000174,C010,P007,2026-05-27,Technical,App Error,High,Phone,1,117,Resolved,1.8,Yes,Customer reported repeated issue
TKT000175,C011,P008,2026-06-01,Order,Order Cancellation,Low,Web,4,7,Resolved,3.7,No,Standard support request
TKT000176,C012,P009,2026-06-06,Product Quality,Defective Product,High,Email,7,17,Resolved,4.4,No,Standard support request
TKT000177,C013,P010,2026-06-11,Delivery,Late Delivery,Medium,Chat,10,27,Resolved,3.0,No,Standard support request
TKT000178,C014,P011,2026-06-16,Payment,Payment Failed,High,Phone,13,37,Resolved,3.7,No,Standard support request
TKT000179,C015,P012,2026-06-21,Account,Login Issue,Medium,Web,16,47,Resolved,4.4,No,Standard support request
TKT000180,C001,P001,2026-06-26,Product Information,Wrong Specification,Medium,Email,1,39,Resolved,3.0,No,Standard support request
TKT000181,C002,P002,2026-01-01,Refund,Refund Pending,High,Chat,4,49,Resolved,3.7,Yes,Standard support request
TKT000182,C003,P003,2026-01-06,Technical,App Error,High,Phone,7,59,Open,4.4,Yes,Standard support request
TKT000183,C004,P004,2026-01-11,Order,Order Cancellation,Low,Web,10,69,Resolved,3.0,Yes,Standard support request
TKT000184,C005,P005,2026-01-16,Product Quality,Defective Product,High,Email,13,79,Resolved,3.7,Yes,Standard support request
TKT000185,C006,P006,2026-01-21,Delivery,Late Delivery,Medium,Chat,16,89,Resolved,4.4,Yes,Standard support request
TKT000186,C007,P007,2026-01-26,Payment,Payment Failed,High,Phone,1,9,Resolved,3.0,No,Standard support request
TKT000187,C008,P008,2026-01-31,Account,Login Issue,Medium,Web,4,19,Resolved,3.7,No,Standard support request
TKT000188,C009,P009,2026-02-05,Product Information,Wrong Specification,Medium,Email,7,29,Resolved,4.4,No,Standard support request
TKT000189,C010,P010,2026-02-10,Refund,Refund Pending,High,Chat,10,39,Resolved,3.0,No,Standard support request
TKT000190,C011,P011,2026-02-15,Technical,App Error,High,Phone,13,49,Resolved,3.7,Yes,Standard support request
TKT000191,C012,P012,2026-02-20,Order,Order Cancellation,Low,Web,16,59,Resolved,4.4,Yes,Standard support request
TKT000192,C013,P001,2026-02-25,Product Quality,Defective Product,High,Email,1,51,Resolved,3.0,Yes,Standard support request
TKT000193,C014,P002,2026-03-02,Delivery,Late Delivery,Medium,Chat,4,61,Resolved,3.7,Yes,Standard support request
TKT000194,C015,P003,2026-03-07,Payment,Payment Failed,High,Phone,7,71,Resolved,4.4,Yes,Standard support request
TKT000195,C001,P004,2026-03-12,Account,Login Issue,Medium,Web,10,81,Open,3.0,Yes,Standard support request
TKT000196,C002,P005,2026-03-17,Product Information,Wrong Specification,Medium,Email,13,19,Resolved,3.7,No,Standard support request
TKT000197,C003,P006,2026-03-22,Refund,Refund Pending,High,Chat,16,29,Resolved,4.4,No,Standard support request
TKT000198,C004,P007,2026-03-27,Technical,App Error,High,Phone,1,21,Resolved,3.0,No,Standard support request
TKT000199,C005,P008,2026-04-01,Order,Order Cancellation,Low,Web,4,31,Resolved,3.7,No,Standard support request
TKT000200,C006,P009,2026-04-06,Product Quality,Defective Product,High,Email,7,41,Resolved,4.4,No,Standard support request
TKT000201,C007,P010,2026-04-11,Delivery,Late Delivery,Medium,Chat,10,51,Resolved,3.0,Yes,Standard support request
TKT000202,C008,P011,2026-04-16,Payment,Payment Failed,High,Phone,13,61,Resolved,3.7,Yes,Standard support request
TKT000203,C009,P012,2026-04-21,Account,Login Issue,Medium,Web,16,119,Resolved,3.2,Yes,Customer reported repeated issue
TKT000204,C010,P001,2026-04-26,Product Information,Wrong Specification,Medium,Email,1,63,Resolved,3.0,Yes,Standard support request
TKT000205,C011,P002,2026-05-01,Refund,Refund Pending,High,Chat,4,73,Resolved,3.7,Yes,Standard support request
TKT000206,C012,P003,2026-05-06,Technical,App Error,High,Phone,7,11,Resolved,4.4,No,Standard support request
TKT000207,C013,P004,2026-05-11,Order,Order Cancellation,Low,Web,10,21,Resolved,3.0,No,Standard support request
TKT000208,C014,P005,2026-05-16,Product Quality,Defective Product,High,Email,13,31,Open,3.7,No,Standard support request
TKT000209,C015,P006,2026-05-21,Delivery,Late Delivery,Medium,Chat,16,41,Resolved,4.4,No,Standard support request
TKT000210,C001,P007,2026-05-26,Payment,Payment Failed,High,Phone,1,33,Resolved,3.0,No,Standard support request
TKT000211,C002,P008,2026-05-31,Account,Login Issue,Medium,Web,4,43,Resolved,3.7,No,Standard support request
TKT000212,C003,P009,2026-06-05,Product Information,Wrong Specification,Medium,Email,7,53,Resolved,4.4,Yes,Standard support request
TKT000213,C004,P010,2026-06-10,Refund,Refund Pending,High,Chat,10,63,Resolved,3.0,Yes,Standard support request
TKT000214,C005,P011,2026-06-15,Technical,App Error,High,Phone,13,73,Resolved,3.7,Yes,Standard support request
TKT000215,C006,P012,2026-06-20,Order,Order Cancellation,Low,Web,16,83,Resolved,4.4,Yes,Standard support request
TKT000216,C007,P001,2026-06-25,Product Quality,Defective Product,High,Email,1,3,Resolved,3.0,No,Standard support request
TKT000217,C008,P002,2026-06-30,Delivery,Late Delivery,Medium,Chat,4,13,Resolved,3.7,No,Standard support request
TKT000218,C009,P003,2026-01-05,Payment,Payment Failed,High,Phone,7,23,Resolved,4.4,No,Standard support request
TKT000219,C010,P004,2026-01-10,Account,Login Issue,Medium,Web,10,33,Resolved,3.0,No,Standard support request
TKT000220,C011,P005,2026-01-15,Product Information,Wrong Specification,Medium,Email,13,43,Resolved,3.7,No,Standard support request
TKT000221,C012,P006,2026-01-20,Refund,Refund Pending,High,Chat,16,53,Open,4.4,Yes,Standard support request
TKT000222,C013,P007,2026-01-25,Technical,App Error,High,Phone,1,45,Resolved,3.0,No,Standard support request
TKT000223,C014,P008,2026-01-30,Order,Order Cancellation,Low,Web,4,55,Resolved,3.7,Yes,Standard support request
TKT000224,C015,P009,2026-02-04,Product Quality,Defective Product,High,Email,7,65,Resolved,4.4,Yes,Standard support request
TKT000225,C001,P010,2026-02-09,Delivery,Late Delivery,Medium,Chat,10,75,Resolved,3.0,Yes,Standard support request
TKT000226,C002,P011,2026-02-14,Payment,Payment Failed,High,Phone,13,85,Resolved,3.7,Yes,Standard support request
TKT000227,C003,P012,2026-02-19,Account,Login Issue,Medium,Web,16,23,Resolved,4.4,No,Standard support request
TKT000228,C004,P001,2026-02-24,Product Information,Wrong Specification,Medium,Email,1,15,Resolved,3.0,No,Standard support request
TKT000229,C005,P002,2026-03-01,Refund,Refund Pending,High,Chat,4,25,Resolved,3.7,No,Standard support request
TKT000230,C006,P003,2026-03-06,Technical,App Error,High,Phone,7,35,Resolved,4.4,No,Standard support request
TKT000231,C007,P004,2026-03-11,Order,Order Cancellation,Low,Web,10,45,Resolved,3.0,No,Standard support request
TKT000232,C008,P005,2026-03-16,Product Quality,Defective Product,High,Email,13,103,Resolved,2.5,Yes,Customer reported repeated issue
TKT000233,C009,P006,2026-03-21,Delivery,Late Delivery,Medium,Chat,16,65,Resolved,4.4,Yes,Standard support request
TKT000234,C010,P007,2026-03-26,Payment,Payment Failed,High,Phone,1,57,Open,3.0,Yes,Standard support request
TKT000235,C011,P008,2026-03-31,Account,Login Issue,Medium,Web,4,67,Resolved,3.7,Yes,Standard support request
TKT000236,C012,P009,2026-04-05,Product Information,Wrong Specification,Medium,Email,7,77,Resolved,4.4,Yes,Standard support request
TKT000237,C013,P010,2026-04-10,Refund,Refund Pending,High,Chat,10,15,Resolved,3.0,No,Standard support request
